index,authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl,transcript
0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,What ER Doctors Keep at Home That Most Preppers Never Think To Own,66,4,1202,1,297,original sound,abfitnetfatloss,true,2026-03-23T19:18:29.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7620532518218911006,
1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,The 7 Things Preppers Buy That Will Actually Get Them Killed | Prepping 2026 Guide #new #breakingnews #fyp #foryoupage #prepper ,496,91,10500,4,290,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-22T19:19:14.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7620161621775617311,
2,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,Why Everything You've Been Told About Bug Out Bags Is Wrong #new #breakingnews #fyp #foryoupage ,209,10,4350,4,280,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-21T20:11:23.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7619803954423139615,
3,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,The 10 American Cities That Will Lose Power First When Grid Collapse Hits #new #breakingnews #fyp #foryoupage #cities ,171,46,5384,5,566,original sound,abfitnetfatloss,true,2026-03-20T19:33:58.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7619423264993070349,
4,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,13 Items You Must Grab From Walmart Before Grid Collapse Hits #new #breakingnews #fyp #foryoupage #walmart ,14300,4098,185500,132,315,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-19T20:30:05.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7619066656794348831,
5,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,The Bug Out Bag Most Preppers Get Completely Wrong — What Veterans Build Instead#new #breakingnews #fyp #foryoupage ,2246,217,36100,18,516,original sound,abfitnetfatloss,true,2026-03-18T19:18:35.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7618677074017996045,
6,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,How to Secure Your Home Before War Reaches Your City | WAR Prepping Guide 2026 #new #breakingnews #fyp #foryoupage #home ,927,176,17700,7,297,original sound,abfitnetfatloss,true,2026-03-17T19:18:27.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7618306004677119263,
7,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,13 Items Gone From Pharmacies in the First 6 Hours of Grid Collapse #new #breakingnews #fyp #foryoupage #gone ,375,69,9547,3,261,original sound,abfitnetfatloss,true,2026-03-15T19:06:54.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7617560836441263374,
8,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,13 Items Gone From Pharmacies in the First 6 Hours of Grid Collapse #new #breakingnews #fyp #foryoupage ,276,55,10100,11,280,Dawn of the Ascending Dragon,Supplemental Music for People Who Want to Sleep,false,2026-03-15T19:05:20.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7617560403672911117,
9,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,What Military Veterans Keep in Their Medicine Cabinet — And Why You Don't Have It #new #breakingnews #fyp #foryoupage #veterans ,1783,747,34400,10,290,original sound,abfitnetfatloss,true,2026-03-14T20:24:04.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7617209575808257294,
0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,Most Families Don't Survive 72 Hours of Grid Collapse — Here's Why #new #breakingnews #fyp #foryoupage ,1135,236,28300,10,280,original sound,abfitnetfatloss,true,2026-03-13T19:17:51.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7616821496270343454,
1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,$50 Kit That Saves You When Grid Collapses | Prepping 2026 For Beginners #new #breakingnews #fyp #foryoupage ,10500,2243,196700,72,285,original sound,abfitnetfatloss,true,2026-03-12T19:33:39.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7616454395294747917,
2,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,If War Reaches Your City and You Have Kids — Do These 9 Things First,765,158,17600,11,280,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-11T19:05:53.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7616076234648292639,
3,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,What Military Veterans Do in the First 60 Minutes of a Grid Collapse #new #breakingnews #fyp #foryoupage #veteran ,12900,1749,285000,115,280,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-10T19:19:59.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7615708785281092894,
4,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,What Military Veterans Do in the First Hour If War Reaches Their City #new #breakingnews #fyp #foryoupage #veteran ,4166,673,65100,14,539,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-09T19:07:49.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7615334551975365919,
5,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c31b9ca1692f86b0313767c6e301082~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1f52fcf7&x-expires=1774504800&x-signature=hsZ8bBToaIohTHGO68Vuwqi5Xio%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,abfitnetfatloss,13 Items Gone From Stores in the First 6 Hours of Grid Collapse | Prepping 2026 Guide #new #breakingnews #fyp #foryoupage #gone ,34100,9071,310000,171,290,original sound - abfitnetfatloss,abfitnetfatloss,false,2026-03-09T18:49:55.000Z,https://www.tiktok.com/@abfitnetfatloss/video/7615329981002042655,
